电子信息与电气工程学院(计算机系),船舶海洋与建筑工程学院,机械与动力工程学院,电子信息与电气工程学院,(031)电子信息与电气工程学院(电气系),电子信息与电气工程学院(自动化系),电子信息与电气工程学院(电子系),电子信息与电气工程学院(仪器系),电子信息与电气工程学院(网络空间安全学院),电子信息与电气工程学院(软件学院),电子信息与电气工程学院(微纳电子学系),材料科学与工程学院,数学科学学院,物理与天文学院,生命科学技术学院,生物医学工程学院,人文学院,化学化工学院,安泰经济与管理学院,国际与公共事务学院,外国语学院,农业与生物学院,环境科学与工程学院,药学院,凯原法学院,新闻传播学,电子信息与电气工程学院(微电子学院),马克思主义学院,体育系,上海交大-巴黎高科卓越工程师学院,上海交大-南加州大学文化创意产业学院,塑性成形技术与装备研究院,微纳科学技术研究院,高等教育研究院,中美物流研究院,国际教育学院,上海交大密西根学院,上海高级金融学院,航空航天学院,系统生物医学研究院,人文艺术研究院,设计学院
0,7.73193,13.6956,0,1.79176,5.2575,5.63479,6.41017,0,0,1.79176,7.83201,4.55388,5.81711,5.03695,1.38629,0,0,3.68888,1.38629,0,2.3979,12.6999,3.17805,0,2.94444,1.79176,0,0,2.3979,0,4.55388,2.63906,0,0,0,3.58352,0,10.6764,2.3979,0,0
3.46574,9.49024,13.5313,4.14313,4.7185,5.41165,8.1197,9.84246,8.70748,5.41165,8.0684,9.62377,12.3806,1.09861,6.59167,5.49306,0,3.68888,0,3.89182,0,8.13212,5.37528,9.16702,2.19722,11.8698,0,0,2.94444,2.48491,0,4.65396,0,0,14.663,0,5.95064,15.6155,4.09434,2.19722,4.14313,0
1.09861,5.81711,12.7689,1.94591,6.51026,3.8712,3.8712,5.48064,3.49651,4.04305,4.09434,7.5807,8.45617,2.99573,4.55388,1.38629,2.63906,1.38629,3.89182,0,2.94444,0,0,1.38629,0,3.73767,2.70805,0,0,5.39363,2.07944,4.02535,0,2.07944,4.02535,0,4.09434,3.04452,2.48491,0,1.94591,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7778,0,0,2.94444,0,0,0,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,0,0,5.88888,0
2.3979,6.24028,1.09861,0,0,0,1.09861,12.0244,1.09861,0,8.83884,1.09861,3.29584,1.09861,20.6626,5.69373,0,2.3979,8.13212,0,0,0,3.29584,0,2.94444,0,0,0,0,1.09861,0,1.09861,0,0,1.09861,0,4.04305,0,1.09861,7.98139,0,0
0,9.18471,12.3739,0,2.07944,2.07944,8.45617,3.17805,1.09861,0,1.09861,10.841,1.09861,5.81711,2.19722,4.04305,0,12.6999,5.37528,0,0,3.29584,0,2.07944,0,0,2.63906,0,0,6.44095,0,3.17805,2.63906,0,1.09861,0,4.04305,2.63906,3.17805,0,0,0
0,8.76155,9.28285,0,5.2575,3.17805,4.85203,10.754,0,0,1.38629,5.2575,0,1.38629,22.0928,6.66441,0,3.17805,9.16702,1.38629,0,0,2.07944,0,2.19722,2.19722,2.94444,0,0,1.38629,0,0,0,0,0,0,3.17805,2.19722,2.77259,13.2595,0,0
0,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,0,0,2.19722,0,0,2.94444,0,2.19722,0,2.19722,0,0,0,0,2.63906,0,0,0,0,0,0,5.14166,0,0,2.63906,0
1.09861,1.09861,1.09861,2.19722,1.09861,1.09861,1.09861,1.09861,3.29584,3.73767,1.09861,2.63906,5.93489,0,0,2.63906,2.63906,2.94444,11.8698,3.73767,0,0,0,2.19722,2.19722,0,1.09861,0,0,0,0,2.63906,0,0,7.03351,0,1.09861,5.93489,1.09861,8.52794,5.14166,0
1.09861,6.13556,7.13887,0,4.04305,3.49651,4.04305,2.70805,1.09861,1.09861,16.2776,6.04025,1.09861,11.9291,1.60944,0,0,1.79176,0,2.70805,0,0,2.63906,2.94444,0,1.09861,0,0,0,4.00733,0,0,2.63906,0,0,0,4.49981,1.09861,2.89037,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.19722,0,0,2.94444,2.19722,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,2.19722,0,0,0,0,0,0,0,2.19722,0,0,0
0,0,0,2.63906,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,0,2.63906,0,0,2.94444,0,0,0,0,0,0,0,0
2.63906,13.8375,19.4592,0,8.11492,13.6039,3.8712,5.48064,3.49651,2.94444,7.56008,9.63952,9.58823,5.65249,1.60944,1.09861,0,2.3979,2.48491,5.39363,0,1.09861,6.44095,1.38629,0,0,4.00733,0,0,0,2.63906,7.20341,0,0,3.49651,0,9.63952,0,10.1478,0,0,0
2.63906,0,0,2.63906,2.07944,0,0,0,0,0,0,2.19722,2.07944,0,0,2.19722,2.3979,0,0,2.07944,0,0,0,0,2.63906,0,0,2.19722,2.63906,2.63906,0,0,0,4.47734,2.07944,0,0,0,2.19722,0,7.98139,0
0,9.11823,15.7826,0,1.38629,3.3322,7.03878,2.48491,5.44242,4.34381,2.48491,21.5127,9.11823,3.17805,0,4.04305,0,4.55388,4.65396,4.02535,0,1.09861,3.17805,0,0,2.63906,0,0,0,7.20341,0,0,2.94444,0,5.98896,0,2.48491,0,7.42655,2.94444,0,0
0,2.63906,0,0,0,0,0,0,0,2.94444,0,0,0,0,0,0,0,2.63906,0,0,0,0,2.63906,0,0,0,2.63906,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0
0,0,0,2.94444,2.07944,0,0,0,0,0,0,0,2.07944,0,0,0,2.3979,0,0,2.07944,0,0,0,0,0,0,0,0,2.94444,0,4.47734,0,0,0,2.07944,0,0,0,0,0,5.34233,0
2.63906,8.63817,4.99043,7.08757,2.07944,4.34381,3.29584,3.73767,5.24175,4.58497,1.09861,3.04452,12.4629,1.09861,0,1.09861,0,0,14.663,4.02535,0,1.09861,1.09861,0,0,7.03351,0,0,0,3.49651,2.07944,5.98896,0,2.07944,0,0,4.04305,8.0861,1.09861,0,2.19722,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.56435,7.45472,20.1853,0,12.3916,7.7424,11.9396,12.4681,5.66296,4.56435,10.4505,23.1503,7.04925,12.7224,1.60944,1.09861,0,3.58352,5.95064,4.09434,0,4.04305,4.04305,3.17805,0,1.09861,4.49981,0,0,9.63952,0,2.48491,0,0,4.04305,0,0,1.09861,10.3992,2.63906,0,0
1.09861,5.24175,1.09861,2.63906,3.04452,1.09861,5.93489,1.09861,6.37673,3.73767,1.09861,2.94444,8.18619,0,0,0,0,0,15.6155,3.04452,0,0,2.63906,2.19722,5.14166,5.93489,1.09861,0,0,0,0,0,0,0,8.0861,0,1.09861,0,1.09861,0,1.94591,0
3.17805,10.2168,16.8066,0,2.48491,25.2139,13.3716,12.5094,7.22111,3.29584,10.1711,10.1628,8.08333,8.754,0,4.68213,0,10.6764,4.09434,2.48491,0,1.09861,3.17805,2.77259,0,1.09861,2.89037,2.19722,0,10.1478,2.19722,7.42655,0,0,1.09861,0,10.3992,1.09861,0,0,0,0
2.63906,0,0,0,0,0,0,2.3979,0,0,0,4.83628,0,0,26.3826,7.47534,0,2.3979,2.19722,0,0,7.98139,0,13.2595,0,8.52794,0,0,0,0,0,2.94444,0,0,0,0,2.63906,0,0,0,0,0
0,1.94591,0,0,1.94591,0,0,0,0,0,0,0,4.14313,0,0,0,2.3979,0,4.14313,1.94591,5.88888,0,0,0,2.63906,5.14166,0,0,0,0,7.98139,0,0,5.34233,2.19722,0,0,1.94591,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
