电子信息与电气工程学院(计算机系),船舶海洋与建筑工程学院,机械与动力工程学院,电子信息与电气工程学院,(031)电子信息与电气工程学院(电气系),电子信息与电气工程学院(自动化系),电子信息与电气工程学院(电子系),电子信息与电气工程学院(仪器系),电子信息与电气工程学院(网络空间安全学院),电子信息与电气工程学院(软件学院),电子信息与电气工程学院(微纳电子学系),材料科学与工程学院,数学科学学院,物理与天文学院,生命科学技术学院,生物医学工程学院,人文学院,化学化工学院,安泰经济与管理学院,国际与公共事务学院,外国语学院,农业与生物学院,环境科学与工程学院,药学院,凯原法学院,新闻传播学,电子信息与电气工程学院(微电子学院),马克思主义学院,体育系,上海交大-巴黎高科卓越工程师学院,上海交大-南加州大学文化创意产业学院,塑性成形技术与装备研究院,微纳科学技术研究院,高等教育研究院,中美物流研究院,国际教育学院,上海交大密西根学院,上海高级金融学院,航空航天学院,系统生物医学研究院,人文艺术研究院,设计学院
安全分析,结构动力,振动分析,故障智能,故障智能,机器人网络,调制技术,阻抗技术,视频编码,云计算平台,检测算法,激光焊接,线性矩阵,光子晶体,转录调控,治疗超声,汉语课堂,全球变暖,金属离子,考试翻译,译本分析,蛋白表达,水库系统,抗原抗体,公司利益,文化企业,效应退化,中国特色社会主义文化,睡眠质量,检测系统,传播策略,特征集成,rdl铜,学术奖项,单策略,,火焰面,效应模型,噪声模型,蛋白质,移动媒体,体验设计
图计算,理论模型,项目控制,气体控制,气体控制,网络模型,检测算法,优化法,安全攻击,预测分析,测试算法,复合结构,风险模型,调控效应,基因测序,肿瘤模型,动词性,冰期预测,聚合物材料,叙事理论,文本翻译,酶活性,硝化电子,肿瘤抗原,法律保护,电影传播,测试系统,共享发展理念,转换功能,优化算法,受众研究,应变路径,热机械可靠性,奖项评价,系统弹性,,透镜成像,风险模型,结构优化,肿瘤细胞,媒介效果,信息服务设计
深度学习,耦合分析 ,控制方法,管理优化,管理优化,系统模型,信号识别,测量特性,攻击检测,预测模型,柔性mems,焊接热,结构优化,表面结构,假单胞菌,肿瘤细胞,汉语教材,,有机材料,译本分析,中国政治,植物微生物,有机污染物降解,抗体结构,责任制度,市场分析,,中国发展,行走锻炼,驱动移动,形象传播,路径加载,原位tsv铜,体育文化,路径优化,,表面透镜,企业资产,图像融合,,网络热点事件,用户体验
网络数据,结构优化 ,结构优化,功率优化,功率优化,估计网络,检测系统,检测机器人,云计算,移动测试,传感器网络,金属基,风险指数法,表面态,蛋白质蛋白质,血管增强,汉语教学,,荧光聚合物,中国政治,考试翻译,土壤酶活性,水氧化,分子药物,协议制度,网络社交媒体,,治理政策,体力活动,,营销传播,渐进成形,tsv转接,学生发展,路径规划,,直流直流,市场效应,跟踪控制,,消费者评价,服务设计
数据预测,系统性能,力优化,负荷优化,负荷优化,视觉目标检测,雷达信号,技术分析,风险评估,管理服务,数字检测,组织结构,图模型,结构调控,信号分子,模态分子,语义特征,,金属催化剂,话语意义,叙事理论,代谢酶,微生物降解,结构控制,法律制度,媒介传播,,治理理念,,,国际工业,成形工艺,硅通孔,组织理论,能力评价,,手术机器人系统,并购金融,卫星系统,,传播行为,设计方法
网络特征学习,优化系统 ,,功率控制,功率控制,学习算法,光纤传输系统,测量系统,安全风险,移动云平台,柔性微,表面模型,,金属光学,细胞转录,肿瘤分割,文化教学,,还原催化剂,文本翻译,话语意义,生物活性,污泥降解,质量分析,,,,知识传播,,,广告传播,应变加载,微观结构,评价政策,定价策略,,热界面材料,,状态空间,,批评性话语分析,视觉勘察
深度神经网络,动力性能,,直流故障,直流故障,学习预测控制,,阻抗法,神经网络模型,云计算,,热管理材料,,光学晶体,调控基因,模态成像,,,,,,代谢酶基因,水处理,,,,,,,,,微成形,高密度封装,学科文化,物流模式,,手术机器人,,,,,
神经网络模型,结构性能 ,,,,,,机器人控制,,信息模型,,,,表面等离子体,分子调控,模态图像,,,,,,菌酶,氧化还原,,,,,,,,,热变形,,,平台定价,,机器人系统,,,,,
